word,starting_letter,category_en,category_geo
6 ოქტომბერი,6,City,ქალაქი
Bob,B,Name,სახელი
Gori,G,City,ქალაქი
Hawkins,H,City,ქალაქი
Vaxo,V,Name,სახელი
აა,ა,River,მდინარე
აალსტი,ა,City,ქალაქი
აანეკოსკი,ა,City,ქალაქი
აარაუ,ა,City,ქალაქი
აარონ,ა,Name,სახელი
აარსი,ა,City,ქალაქი
აარსოტი,ა,City,ქალაქი
აასიაატი,ა,City,ქალაქი
ააფსთა,ა,River,მდინარე
აახენი,ა,City,ქალაქი
აბა,ა,City,ქალაქი
აბა დამაცადე,ა,Film,ფილმი
"აბა, დამაცადე",ა,Film,ფილმი
აბადანი,ა,City,ქალაქი
აბადე,ა,City,ქალაქი
აბავა,ა,River,მდინარე
აბაი,ა,City,ქალაქი
აბაკალიკი,ა,City,ქალაქი
აბაკანი,ა,River,მდინარე
აბალაკი,ა,City,ქალაქი
აბანკაი,ა,City,ქალაქი
აბანო,ა,River,მდინარე
აბანოსღელე,ა,River,მდინარე
აბანოსხევი,ა,River,მდინარე
აბასთუმანი,ა,City,ქალაქი
აბასირი,ა,River,მდინარე
აბაშა,ა,City,ქალაქი
აბეზარა,ა,Film,ფილმი
აბელ,ა,Name,სახელი
აბენრაა,ა,City,ქალაქი
აბეოკუტა,ა,City,ქალაქი
აბესალომ,ა,Name,სახელი
აბესალომ და ეთერი,ა,Film,ფილმი
აბეშე,ა,City,ქალაქი
აბეში,ა,City,ქალაქი
აბზინდა,ა,Plant,მცენარე
აბია პალუოია,ა,City,ქალაქი
აბია-პალუოია,ა,City,ქალაქი
აბია-პალუოჯა,ა,City,ქალაქი
აბიაპალუოია,ა,City,ქალაქი
აბიბო,ა,Name,სახელი
აბიკო,ა,City,ქალაქი
აბილაური,ა,Food,საკვები
აბიჯანი,ა,City,ქალაქი
აბკაიკი,ა,City,ქალაქი
აბო,ა,Name,სახელი
აბოვიანი,ა,City,ქალაქი
აბომეი,ა,City,ქალაქი
აბომეი-კალავი,ა,City,ქალაქი
აბომსა,ა,City,ქალაქი
აბონ მბანგი,ა,City,ქალაქი
აბონი,ა,City,ქალაქი
აბორაჰადოს,ა,Food,საკვები
აბორაჰადოს დე პლატანო მადურო,ა,Food,საკვები
აბოსო,ა,City,ქალაქი
აბოტაბადი,ა,City,ქალაქი
აბოტსფორდი,ა,City,ქალაქი
აბრაამ,ა,Name,სახელი
აბრაგციემსი,ა,City,ქალაქი
აბრამ,ა,Name,სახელი
აბრანტეში,ა,City,ქალაქი
აბრეასი,ა,City,ქალაქი
აბრეუსი,ა,City,ქალაქი
აბრეშუმა,ა,Plant,მცენარე
აბრიკოტი,ა,City,ქალაქი
აბსენთი,ა,Food,საკვები
აბუ დაბი,ა,City,ქალაქი
აბუ თიგი,ა,City,ქალაქი
აბუ სამრა,ა,City,ქალაქი
აბუ სიმბალი,ა,City,ქალაქი
აბუ ქამალი,ა,City,ქალაქი
აბუ ქირქასი,ა,City,ქალაქი
აბუ-დაბი,ა,City,ქალაქი
აბუ-ზაბადი,ა,City,ქალაქი
აბუ-თიგი,ა,City,ქალაქი
აბუ-სიმბალი,ა,City,ქალაქი
აბუ-ქამალი,ა,City,ქალაქი
აბუ-ქირქასი,ა,City,ქალაქი
აბუ-ღაუში,ა,City,ქალაქი
აბუ-ღურაიბი,ა,City,ქალაქი
აბუ-ჯუბაიჰა,ა,City,ქალაქი
აბუდაბი,ა,City,ქალაქი
აბუთიგი,ა,City,ქალაქი
აბულა,ა,Name,სახელი
აბუნა,ა,River,მდინარე
აბური,ა,City,ქალაქი
აბუსალათინი,ა,Plant,მცენარე
აბუსიმბალი,ა,City,ქალაქი
აბუქამალი,ა,City,ქალაქი
აბუქირქასი,ა,City,ქალაქი
აბუჯა,ა,City,ქალაქი
აბჰა,ა,City,ქალაქი
აბჰაინაგარი,ა,City,ქალაქი
აგაბო,ა,Name,სახელი
აგადესი,ა,City,ქალაქი
აგადირი,ა,City,ქალაქი
აგავა,ა,Plant,მცენარე
აგათა,ა,Film,ფილმი
აგათა კრისტის პუარო,ა,Film,ფილმი
აგათონიკე,ა,Name,სახელი
აგარა,ა,City,ქალაქი
აგარაკი,ა,City,ქალაქი
აგარაქი,ა,City,ქალაქი
აგარო,ა,City,ქალაქი
აგდამი,ა,City,ქალაქი
აგდარა,ა,City,ქალაქი
აგდასი,ა,City,ქალაქი
აგედა,ა,City,ქალაქი
აგენტი,ა,Film,ფილმი
აგენტი კარტერი,ა,Film,ფილმი
აგეო,ა,City,ქალაქი
აგვისტო,ა,Film,ფილმი
აგვისტო ოსეიჯის ოლქი,ა,Film,ფილმი
აგვისტო: ოსეიჯის ოლქი,ა,Film,ფილმი
აგვისტოს,ა,Film,ფილმი
აგვისტოს 5 დღე,ა,Film,ფილმი
აგვისტოს რაფსოდია,ა,Film,ფილმი
აგიე,ა,City,ქალაქი
აგილიარესი,ა,City,ქალაქი
აგნესა,ა,Name,სახელი
აგოგო,ა,City,ქალაქი
აგორა,ა,Film,ფილმი
აგრა,ა,City,ქალაქი
აგრაფინა,ა,Name,სახელი
აგრაფიოტისი,ა,River,მდინარე
აგრე მარიამი,ა,City,ქალაქი
აგრინიონი,ა,City,ქალაქი
აგრიჯენტო,ა,City,ქალაქი
აგროსი,ა,City,ქალაქი
აგსტაფა,ა,City,ქალაქი
აგსუ,ა,City,ქალაქი
აგუ,ა,River,მდინარე
აგუა ბლანკა სური,ა,City,ქალაქი
აგუა ბუენა,ა,City,ქალაქი
აგუა ფრია,ა,City,ქალაქი
აგუა-ბუენა,ა,City,ქალაქი
აგუაბუენა,ა,City,ქალაქი
აგუადა დე პასახეროსი,ა,City,ქალაქი
აგუადა-დე-პასახეროსი,ა,City,ქალაქი
აგუადადეპასახეროსი,ა,City,ქალაქი
აგუადულსე,ა,City,ქალაქი
აგუალვა კასენი,ა,City,ქალაქი
აგუალვა-კასენი,ა,City,ქალაქი
აგუალვაკასენი,ა,City,ქალაქი
აგუაპანელა,ა,Food,საკვები
აგუას კალიენტესი,ა,City,ქალაქი
აგუას-კალიენტესი,ა,City,ქალაქი
აგუასკალიენტესი,ა,City,ქალაქი
აგუაშ-სანტაში,ა,City,ქალაქი
აგული,ა,Name,სახელი
აგუნა,ა,Name,სახელი
აგჩაბადი,ა,City,ქალაქი
ად-დაბა,ა,City,ქალაქი
ად-დამაზინი,ა,City,ქალაქი
ად-დამარი,ა,City,ქალაქი
ად-დასმა,ა,City,ქალაქი
ად-დინდარი,ა,City,ქალაქი
ად-დუვაიმი,ა,City,ქალაქი
ადა,ა,River,მდინარე
ადამ,ა,Name,სახელი
ადამა,ა,City,ქალაქი
ადამი,ა,City,ქალაქი
ადამიანთა,ა,Film,ფილმი
ადამიანთა სევდა,ა,Film,ფილმი
ადამიანი,ა,Film,ფილმი
ადამიანი ამფიბია,ა,Film,ფილმი
ადამიანი ობობა,ა,Film,ფილმი
ადამიანი ობობა დაბრუნება,ა,Film,ფილმი
ადამიანი ობობა სამყაროს,ა,Film,ფილმი
ადამიანი ობობა სამყაროს მიღმა,ა,Film,ფილმი
ადამიანი ობობა სახლიდან,ა,Film,ფილმი
ადამიანი ობობა სახლიდან შორს,ა,Film,ფილმი
ადამიანი ობობა: დაბრუნება,ა,Film,ფილმი
ადამიანი ობობა: სამყაროს მიღმა,ა,Film,ფილმი
ადამიანი ობობა: სახლიდან შორს,ა,Film,ფილმი
ადამიანი ომეგა,ა,Film,ფილმი
ადამიანი ჩიტი,ა,Film,ფილმი
ადამიანი-სპილო,ა,Film,ფილმი
ადამიანი-ჭიანჭველა,ა,Film,ფილმი
ადამიანი-ჭიანჭველა და ბზიკი,ა,Film,ფილმი
ადამსი,ა,River,მდინარე
ადამსტაუნი,ა,City,ქალაქი
ადანა,ა,City,ქალაქი
ადანგე,ა,River,მდინარე
ადაფაზარი,ა,City,ქალაქი
ადგილები,ა,Film,ფილმი
ადგილები გულში,ა,Film,ფილმი
ადგილი,ა,Film,ფილმი
ადგილი მზეზე,ა,Film,ფილმი
ადელაიდა,ა,River,მდინარე
ადელაიდი,ა,City,ქალაქი
ადელაინის,ა,Film,ფილმი
ადელაინის ასაკი,ა,Film,ფილმი
ადელის,ა,Film,ფილმი
ადელის ცხოვრება,ა,Film,ფილმი
ადენი,ა,City,ქალაქი
ადეტ,ა,City,ქალაქი
ადი კეიხი,ა,City,ქალაქი
ადიამანი,ა,City,ქალაქი
ადიგენი,ა,City,ქალაქი
ადივერნა,ა,City,ქალაქი
ადილა,ა,Name,სახელი
ადილარ,ა,Name,სახელი
ადილსუ,ა,River,მდინარე
ადირ,ა,City,ქალაქი
ადირი,ა,City,ქალაქი
ადის აბაბა,ა,City,ქალაქი
ადის აბება,ა,City,ქალაქი
ადის ალემ,ა,City,ქალაქი
ადის ზემენი,ა,City,ქალაქი
ადის-აბება,ა,City,ქალაქი
ადისაბება,ა,City,ქალაქი
ადიშჭალა,ა,River,მდინარე
ადიჯე,ა,River,მდინარე
ადლისვილი,ა,City,ქალაქი
ადოლა,ა,Name,სახელი
ადრასკანი,ა,City,ქალაქი
ადრასმონი,ა,City,ქალაქი
ადრე,ა,City,ქალაქი
ადრიანე,ა,Name,სახელი
ადური,ა,River,მდინარე
აერონი,ა,River,მდინარე
ავადჰარა,ა,River,მდინარე
ავაზა,ა,Animal,ცხოველი
ავამორი,ა,Food,საკვები
ავანისხევი,ა,River,მდინარე
ავაო,ა,City,ქალაქი
ავარიის ყოისუ,ა,River,მდინარე
ავარუა,ა,City,ქალაქი
ავასა,ა,City,ქალაქი
ავატა,ა,City,ქალაქი
ავატარი,ა,Film,ფილმი
ავბარი,ა,City,ქალაქი
ავგორო,ა,City,ქალაქი
ავეილი,ა,City,ქალაქი
ავეირუ,ა,City,ქალაქი
ავესტა,ა,City,ქალაქი
ავთანდილ,ა,Name,სახელი
ავთანდილი,ა,Name,სახელი
ავთო,ა,Name,სახელი
ავია,ა,River,მდინარე
ავიატორი,ა,Film,ფილმი
ავილესი,ა,City,ქალაქი
ავინიონი,ა,City,ქალაქი
ავკა,ა,City,ქალაქი
ავოკადო,ა,Plant,მცენარე
ავორიაზი,ა,City,ქალაქი
ავრორა,ა,Film,ფილმი
ავსტრალია,ა,Country,ქვეყანა
ავსტრალიის კავშირი,ა,Country,ქვეყანა
ავსტრალიური,ა,Food,საკვები
ავსტრალიური ღვინო,ა,Food,საკვები
ავსტრია,ა,Country,ქვეყანა
ავსტრიის რესპუბლიკა,ა,Country,ქვეყანა
ავსშ,ა,City,ქალაქი
ავტოპორტრეტი,ა,Film,ფილმი
ავტორი,ა,Film,ფილმი
ავტორი ავტორი,ა,Film,ფილმი
ავტორი! ავტორი,ა,Film,ფილმი
ავტოფარეხი,ა,Film,ფილმი
ავქსენტი,ა,Name,სახელი
ავღანეთი,ა,Country,ქვეყანა
ავღანეთის ისლამური რესპუბლიკა,ა,Country,ქვეყანა
ავშარი,ა,City,ქალაქი
ავჯილა,ა,City,ქალაქი
აზ-ზავრი,ა,City,ქალაქი
აზ-ზუბაირი,ა,City,ქალაქი
აზ-ზუვაიტინა,ა,City,ქალაქი
აზა,ა,Name,სახელი
აზაბა,ა,City,ქალაქი
აზაზი,ა,City,ქალაქი
აზაკუალპა,ა,City,ქალაქი
აზალია,ა,Plant,მცენარე
აზარე,ა,City,ქალაქი
აზარია,ა,Name,სახელი
აზატანი,ა,City,ქალაქი
აზატი,ა,River,მდინარე
აზემური,ა,City,ქალაქი
აზერბაიჯანი,ა,Country,ქვეყანა
აზერბაიჯანის რესპუბლიკა,ა,Country,ქვეყანა
აზერბაიჯანული,ა,Food,საკვები
აზერბაიჯანული ფახლავა,ა,Food,საკვები
აზერბაიჯანული ღვინო,ა,Food,საკვები
აზერბაიჯანული ჩაი,ა,Food,საკვები
აზერბაიჯანული ჩაის კულტურა,ა,Food,საკვები
აზიარი,ა,City,ქალაქი
აზოგესი,ა,City,ქალაქი
აზორი,ა,City,ქალაქი
აზრუ,ა,City,ქალაქი
ათ ხვაჯე,ა,City,ქალაქი
ათ-ბაში,ა,River,მდინარე
ათაი,ა,City,ქალაქი
ათანასე,ა,Name,სახელი
ათასი,ა,Film,ფილმი
ათასი კლოუნი,ა,Film,ფილმი
ათასის,ა,Film,ფილმი
ათასის ფასად,ა,Film,ფილმი
ათასუ,ა,City,ქალაქი
ათბასარი,ა,City,ქალაქი
ათენი,ა,City,ქალაქი
ათი პატარა ზანგი,ა,Film,ფილმი
ათი რივერი,ა,City,ქალაქი
ათიენო,ა,City,ქალაქი
ათლიგი,ა,City,ქალაქი
ათლონი,ა,City,ქალაქი
ათნა,ა,City,ქალაქი
ათრაქი,ა,River,მდინარე
ათრევა,ა,River,მდინარე
აი,ა,City,ქალაქი
აია,ა,Name,სახელი
აია ვარვარა,ა,City,ქალაქი
აია ნაპა,ა,City,ქალაქი
აია პარასკევი,ა,City,ქალაქი
აია-ნაპა,ა,City,ქალაქი
აიავირი,ა,City,ქალაქი
აიაკოზი,ა,City,ქალაქი
აიაკუჩო,ა,City,ქალაქი
აიან-იურიახი,ა,River,მდინარე
აიანაპა,ა,City,ქალაქი
აიანგ-ნი,ა,City,ქალაქი
აიაქოზი,ა,River,მდინარე
აიაჩო,ა,City,ქალაქი
აიგავანი,ა,City,ქალაქი
აიგალეო,ა,City,ქალაქი
აიგეზარდი,ა,City,ქალაქი
აიგეჰოვიტი,ა,City,ქალაქი
აიგიონი,ა,City,ქალაქი
აიგუა,ა,City,ქალაქი
აიდარი,ა,River,მდინარე
აიდინი,ა,City,ქალაქი
აიდოვშჩინა,ა,City,ქალაქი
აიდუნი,ა,City,ქალაქი
აიენე,ა,City,ქალაქი
აივალიქი,ა,City,ქალაქი
აივიექსტე,ა,River,მდინარე
აიზენახი,ა,City,ქალაქი
აიზენერცი,ა,City,ქალაქი
აიზენშტადტი,ა,City,ქალაქი
აიზკრაუკლე,ა,City,ქალაქი
აიზპუტე,ა,City,ქალაქი
აით ბენ ჰადუ,ა,City,ქალაქი
აით-ბენ-ჰადუ,ა,City,ქალაქი
აითბენჰადუ,ა,City,ქალაქი
აიია ნაპა,ა,City,ქალაქი
აიიოს ტიხონა,ა,City,ქალაქი
აიკა,ა,City,ქალაქი
აილიგანდი,ა,City,ქალაქი
აინ ალ ბაიდა,ა,City,ქალაქი
აინ ალ თინა,ა,City,ქალაქი
აინ ალ შარკია,ა,City,ქალაქი
აინ ბეიდა,ა,City,ქალაქი
აინ ელ არაბი,ა,City,ქალაქი
აინ ელ ჰაჯელი,ა,City,ქალაქი
აინ ოუსერა,ა,City,ქალაქი
აინ სეფრა,ა,City,ქალაქი
აინ სუხნა,ა,City,ქალაქი
აინ ტუტა,ა,City,ქალაქი
აინ ფაკრუანი,ა,City,ქალაქი
აინ შიკაკი,ა,City,ქალაქი
აინ-ალ-ბაიდა,ა,City,ქალაქი
აინ-ალ-თინა,ა,City,ქალაქი
აინ-ალ-შარკია,ა,City,ქალაქი
აინ-ებელი,ა,City,ქალაქი
აინ-ელ-არაბი,ა,City,ქალაქი
აინ-სუხნა,ა,City,ქალაქი
აინ-შიკაკი,ა,City,ქალაქი
აინ-ჯანა,ა,City,ქალაქი
აინალბაიდა,ა,City,ქალაქი
აინალთინა,ა,City,ქალაქი
აინალშარკია,ა,City,ქალაქი
აინაჟი,ა,City,ქალაქი
აინბეკი,ა,City,ქალაქი
აინელარაბი,ა,City,ქალაქი
აინზიდელნი,ა,City,ქალაქი
აინი,ა,City,ქალაქი
აინსუხნა,ა,City,ქალაქი
აინშიკაკი,ა,City,ქალაქი
აიოლასი,ა,City,ქალაქი
აიორუ,ა,City,ქალაქი
აირ კერუჰი,ა,City,ქალაქი
აირაი,ა,City,ქალაქი
აირანი,ა,Food,საკვები
აირდრი,ა,City,ქალაქი
აირისი,ა,Film,ფილმი
აირუმი,ა,City,ქალაქი
აისაი,ა,City,ქალაქი
აისი,ა,Film,ფილმი
აისი ორი ადამიანის,ა,Film,ფილმი
აისი ორი ადამიანის სიმღერა,ა,Film,ფილმი
აისი: ორი ადამიანის სიმღერა,ა,Film,ფილმი
აისლებენი,ა,City,ქალაქი
აიტაპე,ა,City,ქალაქი
აიტოსი,ა,City,ქალაქი
აიუდი,ა,City,ქალაქი
აიუტუკსტეპეკე,ა,City,ქალაქი
აიშამპლე,ა,City,ქალაქი
აიშე,ა,Name,სახელი
აიშენი,ა,City,ქალაქი
აკაა,ა,City,ქალაქი
აკააი,ა,City,ქალაქი
აკაბა,ა,City,ქალაქი
აკაკი,ა,City,ქალაქი
აკაკი წერეთლის მოგზაურობა,ა,Film,ფილმი
აკაკი წერეთლის მოგზაურობა რაჭა-ლეჩხუმში,ა,Film,ფილმი
აკაკის,ა,Film,ფილმი
აკაკის აკვანი,ა,Film,ფილმი
აკანი,ა,River,მდინარე
აკაპონეტა,ა,River,მდინარე
აკაპულკო,ა,City,ქალაქი
აკაპულკო-დე-ხუარესი,ა,City,ქალაქი
აკარიგუა,ა,City,ქალაქი
აკატარავა,ა,River,მდინარე
აკატონე,ა,Film,ფილმი
აკაში,ა,City,ქალაქი
აკაცია,ა,Plant,მცენარე
აკაციის,ა,Film,ფილმი
აკაციის ყვავილობა,ა,Film,ფილმი
აკაჯუტლა,ა,City,ქალაქი
აკბუ,ა,City,ქალაქი
აკდეპე,ა,City,ქალაქი
აკერსბერგა,ა,City,ქალაქი
აკეტი,ა,City,ქალაქი
აკვავიტი,ა,Food,საკვები
აკვამენი,ა,Film,ფილმი
აკვარელი,ა,Film,ფილმი
აკვატია,ა,City,ქალაქი
აკვილია,ა,City,ქალაქი
აკიაბი,ა,City,ქალაქი
აკიმ სვედრუ,ა,City,ქალაქი
აკინ,ა,City,ქალაქი
აკიტა,ა,City,ქალაქი
აკიტიო,ა,River,მდინარე
აკმენე,ა,City,ქალაქი
აკმიანე,ა,City,ქალაქი
აკნისტე,ა,City,ქალაქი
აკო,ა,City,ქალაქი
აკოიაპა,ა,City,ქალაქი
აკოლა,ა,City,ქალაქი
აკომ II,ა,City,ქალაქი
აკონიბე,ა,City,ქალაქი
აკონოლინგა,ა,City,ქალაქი
აკოცე,ა,Film,ფილმი
აკოცე გოგონებს,ა,Film,ფილმი
აკრა,ა,City,ქალაქი
აკრანესი,ა,City,ქალაქი
აკროპონგი,ა,City,ქალაქი
აკროტირი,ა,City,ქალაქი
აკრძალული ქალაქი,ა,City,ქალაქი
აკუდა,ა,City,ქალაქი
აკულ დუ ნორდი,ა,City,ქალაქი
აკურდეთ,ა,City,ქალაქი
აკურე,ა,City,ქალაქი
აკურეირი,ა,City,ქალაქი
აკურენამ,ა,City,ქალაქი
აკურისხევი,ა,River,მდინარე
აკუშოსხევი,ა,River,მდინარე
ალ აინი,ა,City,ქალაქი
ალ აშარა,ა,City,ქალაქი
ალ ბაჰა,ა,City,ქალაქი
ალ ბაჰლულია,ა,City,ქალაქი
ალ ბუსეირა,ა,City,ქალაქი
ალ დალია,ა,City,ქალაქი
ალ დივანია,ა,City,ქალაქი
ალ ზუბაირი,ა,City,ქალაქი
ალ თაბნი,ა,City,ქალაქი
ალ თიფლისი,ა,City,ქალაქი
ალ კუტეილიბია,ა,City,ქალაქი
